Age,Asian,EuropeanorOther,Maori,PacificPeoples,Various,Total
0,56350,128050,86210,28460,0,299070
5,58370,145780,86680,30590,0,321420
10,48080,163700,93300,33690,0,338770
15,45000,165020,80180,32100,0,322300
20,53040,170330,73630,34100,0,331100
25,79210,188810,68550,31670,0,368240
30,96740,197760,62020,27760,0,384280
35,89940,182530,49920,22600,0,344990
40,67460,179530,46420,20790,0,314200
45,49260,203350,47900,20180,0,320690
50,41660,223400,47030,19640,0,331720
55,37040,224070,42630,17350,0,321080
60,31310,217950,35310,13080,0,297650
65,26600,190850,25350,9770,0,252580
70,17620,176990,16890,6780,0,218290
75,9930,128950,9660,4190,0,152730
80,6570,90970,5590,2490,0,105610
85,5000,79400,3400,1700,0,89400
Total,819200,3057400,880700,356900,0,5114100
