Parameter,Posterior
Outbreak seed date,"17 [15, 21] days"
R_e(t) in period 1,"2.24 [2.07, 2.44] "
Period 1-2 ramp start date,"69 [63, 73] days"
Period 1-2 ramp window,"56 [36, 74] days"
R_e(t) in period 2,"3.69 [2.97, 4.24] "
Period 2-3 ramp start date,"258 [252, 262] days"
Period 2-3 ramp window,"11 [1, 19] days"
Period 2-3 factor increase in R_e(t),"1.22 [1.11, 1.29] "
Contact matrix relaxation factor,"0.49 [0.07, 0.78] "
Contact matrix relaxation window,"69 [50, 89] days"
Testing probability multiplier,"1.00 [0.81, 1.19] "
IFR probability multiplier,"0.80 [0.52, 1.21] "
IHR probability multiplier,"1.26 [0.92, 1.48] "
Immunity waning rate,"0.0052 [0.0037, 0.0067] (day-1)"
BA.5 immune evasion,"0.37 [0.13, 0.63] "
Antiviral effect on IFR,"0.50 [0.41, 0.60] "
